,precision,recall,f1-score,support
apple_pie,0.5611111111111111,0.505,0.531578947368421,200.0
baby_back_ribs,0.7535545023696683,0.795,0.7737226277372263,200.0
baklava,0.7431192660550459,0.81,0.7751196172248804,200.0
beef_carpaccio,0.8095238095238095,0.765,0.7866323907455013,200.0
beef_tartare,0.7471910112359551,0.665,0.7037037037037037,200.0
beet_salad,0.631336405529954,0.685,0.657074340527578,200.0
beignets,0.8066037735849056,0.855,0.8300970873786407,200.0
bibimbap,0.8604651162790697,0.925,0.891566265060241,200.0
bread_pudding,0.5240384615384616,0.545,0.5343137254901961,200.0
breakfast_burrito,0.7236180904522613,0.72,0.7218045112781954,200.0
bruschetta,0.6649214659685864,0.635,0.649616368286445,200.0
caesar_salad,0.7804878048780488,0.8,0.7901234567901234,200.0
cannoli,0.8549222797927462,0.825,0.8396946564885496,200.0
caprese_salad,0.7365853658536585,0.755,0.745679012345679,200.0
carrot_cake,0.7853403141361257,0.75,0.7672634271099744,200.0
ceviche,0.6091370558375635,0.6,0.6045340050377834,200.0
cheese_plate,0.7455357142857143,0.835,0.7877358490566038,200.0
cheesecake,0.6190476190476191,0.585,0.6015424164524421,200.0
chicken_curry,0.6616161616161617,0.655,0.6582914572864321,200.0
chicken_quesadilla,0.7872340425531915,0.74,0.7628865979381443,200.0
chicken_wings,0.7752293577981652,0.845,0.8086124401913876,200.0
chocolate_cake,0.625615763546798,0.635,0.630272952853598,200.0
chocolate_mousse,0.5351351351351351,0.495,0.5142857142857142,200.0
churros,0.8601036269430051,0.83,0.8447837150127226,200.0
clam_chowder,0.8019323671497585,0.83,0.8157248157248157,200.0
club_sandwich,0.8804347826086957,0.81,0.84375,200.0
crab_cakes,0.6647058823529411,0.565,0.6108108108108108,200.0
creme_brulee,0.8704663212435233,0.84,0.8549618320610687,200.0
croque_madame,0.8494623655913979,0.79,0.8186528497409327,200.0
cup_cakes,0.8167539267015707,0.78,0.7979539641943734,200.0
deviled_eggs,0.8808290155440415,0.85,0.8651399491094147,200.0
donuts,0.6930232558139535,0.745,0.7180722891566265,200.0
dumplings,0.8168316831683168,0.825,0.8208955223880597,200.0
edamame,0.9705882352941176,0.99,0.9801980198019802,200.0
eggs_benedict,0.8115942028985508,0.84,0.8255528255528255,200.0
escargots,0.8611111111111112,0.775,0.8157894736842105,200.0
falafel,0.7457627118644068,0.66,0.7002652519893899,200.0
filet_mignon,0.5395348837209303,0.58,0.5590361445783133,200.0
fish_and_chips,0.8382352941176471,0.855,0.8465346534653465,200.0
foie_gras,0.48704663212435234,0.47,0.47837150127226463,200.0
french_fries,0.8805970149253731,0.885,0.8827930174563591,200.0
french_onion_soup,0.8232323232323232,0.815,0.8190954773869347,200.0
french_toast,0.7046632124352331,0.68,0.6921119592875318,200.0
fried_calamari,0.7905759162303665,0.755,0.7723785166240409,200.0
fried_rice,0.7839195979899497,0.78,0.7819548872180451,200.0
frozen_yogurt,0.8161434977578476,0.91,0.8605200945626478,200.0
garlic_bread,0.71875,0.69,0.7040816326530612,200.0
gnocchi,0.5922330097087378,0.61,0.6009852216748769,200.0
greek_salad,0.7560975609756098,0.775,0.7654320987654321,200.0
grilled_cheese_sandwich,0.7288135593220338,0.645,0.6843501326259946,200.0
grilled_salmon,0.6857142857142857,0.6,0.64,200.0
guacamole,0.8036529680365296,0.88,0.8400954653937948,200.0
gyoza,0.7286432160804021,0.725,0.7268170426065163,200.0
hamburger,0.7030567685589519,0.805,0.7505827505827506,200.0
hot_and_sour_soup,0.8932038834951457,0.92,0.9064039408866995,200.0
hot_dog,0.8148148148148148,0.77,0.7917737789203085,200.0
huevos_rancheros,0.6967741935483871,0.54,0.6084507042253521,200.0
hummus,0.7218934911242604,0.61,0.6612466124661247,200.0
ice_cream,0.6634615384615384,0.69,0.6764705882352942,200.0
lasagna,0.6494845360824743,0.63,0.6395939086294417,200.0
lobster_bisque,0.786046511627907,0.845,0.8144578313253013,200.0
lobster_roll_sandwich,0.8502415458937198,0.88,0.8648648648648649,200.0
macaroni_and_cheese,0.7835051546391752,0.76,0.7715736040609137,200.0
macarons,0.8866995073891626,0.9,0.8933002481389578,200.0
miso_soup,0.893719806763285,0.925,0.9090909090909091,200.0
mussels,0.914572864321608,0.91,0.9122807017543859,200.0
nachos,0.6521739130434783,0.75,0.6976744186046512,200.0
omelette,0.680628272251309,0.65,0.6649616368286445,200.0
onion_rings,0.8365384615384616,0.87,0.8529411764705882,200.0
oysters,0.8855721393034826,0.89,0.8877805486284289,200.0
pad_thai,0.8075117370892019,0.86,0.8329297820823245,200.0
paella,0.8010471204188482,0.765,0.782608695652174,200.0
pancakes,0.7905759162303665,0.755,0.7723785166240409,200.0
panna_cotta,0.6574074074074074,0.71,0.6826923076923077,200.0
peking_duck,0.7355371900826446,0.89,0.8054298642533937,200.0
pho,0.8591549295774648,0.915,0.8861985472154964,200.0
pizza,0.8724489795918368,0.855,0.8636363636363636,200.0
pork_chop,0.5585106382978723,0.525,0.5412371134020618,200.0
poutine,0.7954545454545454,0.875,0.8333333333333334,200.0
prime_rib,0.755868544600939,0.805,0.7796610169491526,200.0
pulled_pork_sandwich,0.7333333333333333,0.715,0.7240506329113924,200.0
ramen,0.82,0.82,0.82,200.0
ravioli,0.49261083743842365,0.5,0.49627791563275436,200.0
red_velvet_cake,0.875,0.77,0.8191489361702128,200.0
risotto,0.6542056074766355,0.7,0.6763285024154589,200.0
samosa,0.6825396825396826,0.86,0.7610619469026548,200.0
sashimi,0.8116591928251121,0.905,0.8557919621749409,200.0
scallops,0.6529411764705882,0.555,0.6,200.0
seaweed_salad,0.8755980861244019,0.915,0.8948655256723717,200.0
shrimp_and_grits,0.5919282511210763,0.66,0.624113475177305,200.0
spaghetti_bolognese,0.9050279329608939,0.81,0.8548812664907651,200.0
spaghetti_carbonara,0.863849765258216,0.92,0.8910411622276029,200.0
spring_rolls,0.7916666666666666,0.76,0.7755102040816326,200.0
steak,0.4727272727272727,0.39,0.4273972602739726,200.0
strawberry_shortcake,0.7512437810945274,0.755,0.7531172069825436,200.0
sushi,0.8087431693989071,0.74,0.7728459530026109,200.0
tacos,0.6586538461538461,0.685,0.6715686274509803,200.0
takoyaki,0.8161434977578476,0.91,0.8605200945626478,200.0
tiramisu,0.6886792452830188,0.73,0.7087378640776699,200.0
tuna_tartare,0.5526315789473685,0.525,0.5384615384615384,200.0
waffles,0.8342857142857143,0.73,0.7786666666666666,200.0
accuracy,0.7511386138613861,0.7511386138613861,0.7511386138613861,0.7511386138613861
macro avg,0.7507148033490947,0.7511386138613863,0.7497148637755032,20200.0
weighted avg,0.750714803349095,0.7511386138613861,0.7497148637755033,20200.0
