,precision,recall,f1-score,support
apple_pie,0.3220338983050847,0.095,0.14671814671814673,200.0
baby_back_ribs,0.5336134453781513,0.635,0.5799086757990868,200.0
baklava,0.5336538461538461,0.555,0.5441176470588235,200.0
beef_carpaccio,0.7142857142857143,0.575,0.6371191135734072,200.0
beef_tartare,0.4472361809045226,0.445,0.44611528822055135,200.0
beet_salad,0.5153846153846153,0.335,0.40606060606060607,200.0
beignets,0.7802197802197802,0.71,0.743455497382199,200.0
bibimbap,0.7004608294930875,0.76,0.7290167865707434,200.0
bread_pudding,0.2893081761006289,0.23,0.2562674094707521,200.0
breakfast_burrito,0.588957055214724,0.48,0.5289256198347108,200.0
bruschetta,0.35443037974683544,0.42,0.38443935926773454,200.0
caesar_salad,0.5378151260504201,0.64,0.5844748858447488,200.0
cannoli,0.6530612244897959,0.64,0.6464646464646465,200.0
caprese_salad,0.6825396825396826,0.43,0.5276073619631901,200.0
carrot_cake,0.53125,0.51,0.5204081632653061,200.0
ceviche,0.5733333333333334,0.215,0.31272727272727274,200.0
cheese_plate,0.5535714285714286,0.62,0.5849056603773585,200.0
cheesecake,0.5119047619047619,0.215,0.3028169014084507,200.0
chicken_curry,0.5755395683453237,0.4,0.471976401179941,200.0
chicken_quesadilla,0.5117370892018779,0.545,0.5278450363196125,200.0
chicken_wings,0.54296875,0.695,0.6096491228070176,200.0
chocolate_cake,0.4739583333333333,0.455,0.4642857142857143,200.0
chocolate_mousse,0.3378995433789954,0.37,0.3532219570405728,200.0
churros,0.7674418604651163,0.66,0.7096774193548387,200.0
clam_chowder,0.7443181818181818,0.655,0.6968085106382979,200.0
club_sandwich,0.6490384615384616,0.675,0.6617647058823529,200.0
crab_cakes,0.33774834437086093,0.255,0.2905982905982906,200.0
creme_brulee,0.5748031496062992,0.73,0.6431718061674009,200.0
croque_madame,0.3676092544987147,0.715,0.4855687606112054,200.0
cup_cakes,0.6994535519125683,0.64,0.6684073107049608,200.0
deviled_eggs,0.643979057591623,0.615,0.629156010230179,200.0
donuts,0.7681159420289855,0.53,0.6272189349112426,200.0
dumplings,0.8082901554404145,0.78,0.7938931297709924,200.0
edamame,0.9306930693069307,0.94,0.9353233830845771,200.0
eggs_benedict,0.7354838709677419,0.57,0.6422535211267606,200.0
escargots,0.6578947368421053,0.625,0.6410256410256411,200.0
falafel,0.6016260162601627,0.37,0.4582043343653251,200.0
filet_mignon,0.3880597014925373,0.39,0.38902743142144636,200.0
fish_and_chips,0.5587044534412956,0.69,0.6174496644295302,200.0
foie_gras,0.3391812865497076,0.29,0.31266846361185985,200.0
french_fries,0.813953488372093,0.7,0.7526881720430108,200.0
french_onion_soup,0.7621951219512195,0.625,0.6868131868131868,200.0
french_toast,0.445,0.445,0.445,200.0
fried_calamari,0.5654450261780105,0.54,0.5524296675191815,200.0
fried_rice,0.718562874251497,0.6,0.6539509536784741,200.0
frozen_yogurt,0.7948717948717948,0.775,0.7848101265822784,200.0
garlic_bread,0.6082474226804123,0.59,0.5989847715736041,200.0
gnocchi,0.4451219512195122,0.365,0.4010989010989011,200.0
greek_salad,0.5867346938775511,0.575,0.5808080808080808,200.0
grilled_cheese_sandwich,0.44148936170212766,0.415,0.42783505154639173,200.0
grilled_salmon,0.19428571428571428,0.51,0.2813793103448276,200.0
guacamole,0.7934782608695652,0.73,0.7604166666666666,200.0
gyoza,0.4765957446808511,0.56,0.5149425287356322,200.0
hamburger,0.723404255319149,0.51,0.5982404692082112,200.0
hot_and_sour_soup,0.7761904761904762,0.815,0.7951219512195122,200.0
hot_dog,0.5772357723577236,0.71,0.6367713004484304,200.0
huevos_rancheros,0.4217687074829932,0.31,0.3573487031700288,200.0
hummus,0.26062322946175637,0.46,0.33273056057866185,200.0
ice_cream,0.31695331695331697,0.645,0.42504118616144976,200.0
lasagna,0.6288659793814433,0.305,0.4107744107744108,200.0
lobster_bisque,0.6108597285067874,0.675,0.6413301662707839,200.0
lobster_roll_sandwich,0.7320261437908496,0.56,0.6345609065155807,200.0
macaroni_and_cheese,0.5288888888888889,0.595,0.56,200.0
macarons,0.8876404494382022,0.79,0.8359788359788359,200.0
miso_soup,0.6071428571428571,0.85,0.7083333333333334,200.0
mussels,0.8670886075949367,0.685,0.7653631284916201,200.0
nachos,0.6608695652173913,0.38,0.48253968253968255,200.0
omelette,0.3987341772151899,0.315,0.35195530726256985,200.0
onion_rings,0.6727272727272727,0.74,0.7047619047619048,200.0
