,precision,recall,f1-score,support
apple_pie,0.39285714285714285,0.22,0.28205128205128205,200.0
baby_back_ribs,0.63,0.63,0.63,200.0
baklava,0.5903083700440529,0.67,0.6276346604215457,200.0
beef_carpaccio,0.697560975609756,0.715,0.7061728395061728,200.0
beef_tartare,0.6835443037974683,0.54,0.6033519553072626,200.0
beet_salad,0.45365853658536587,0.465,0.45925925925925926,200.0
beignets,0.6790123456790124,0.825,0.744920993227991,200.0
bibimbap,0.7464788732394366,0.795,0.7699757869249395,200.0
bread_pudding,0.3584905660377358,0.285,0.31754874651810583,200.0
breakfast_burrito,0.5860215053763441,0.545,0.5647668393782384,200.0
bruschetta,0.525,0.42,0.4666666666666667,200.0
caesar_salad,0.573170731707317,0.705,0.6322869955156951,200.0
cannoli,0.6958762886597938,0.675,0.6852791878172588,200.0
caprese_salad,0.582010582010582,0.55,0.5655526992287918,200.0
carrot_cake,0.656084656084656,0.62,0.6375321336760925,200.0
ceviche,0.44,0.44,0.44,200.0
cheese_plate,0.556,0.695,0.6177777777777778,200.0
cheesecake,0.4742857142857143,0.415,0.44266666666666665,200.0
chicken_curry,0.502283105022831,0.55,0.5250596658711217,200.0
chicken_quesadilla,0.6344086021505376,0.59,0.6113989637305699,200.0
chicken_wings,0.7156862745098039,0.73,0.7227722772277227,200.0
chocolate_cake,0.5343137254901961,0.545,0.5396039603960396,200.0
chocolate_mousse,0.319634703196347,0.35,0.3341288782816229,200.0
churros,0.7696078431372549,0.785,0.7772277227722773,200.0
clam_chowder,0.6485355648535565,0.775,0.7061503416856492,200.0
club_sandwich,0.7941176470588235,0.675,0.7297297297297297,200.0
crab_cakes,0.5072463768115942,0.35,0.41420118343195267,200.0
creme_brulee,0.7512953367875648,0.725,0.7379134860050891,200.0
croque_madame,0.7180851063829787,0.675,0.6958762886597938,200.0
cup_cakes,0.6956521739130435,0.72,0.7076167076167076,200.0
deviled_eggs,0.7722222222222223,0.695,0.7315789473684211,200.0
donuts,0.573394495412844,0.625,0.5980861244019139,200.0
dumplings,0.8333333333333334,0.8,0.8163265306122449,200.0
edamame,0.9323671497584541,0.965,0.9484029484029484,200.0
eggs_benedict,0.6744186046511628,0.725,0.6987951807228916,200.0
escargots,0.7941176470588235,0.675,0.7297297297297297,200.0
falafel,0.6193548387096774,0.48,0.5408450704225352,200.0
filet_mignon,0.4312796208530806,0.455,0.44282238442822386,200.0
